,Product Name,Product Description,Review Text,Rating
78,Le Creuset Enameled Cast Iron Dutch Oven,Cook delicious meals with Le Creuset Enameled Cast Iron Dutch Oven.,"Le Creuset Dutch Oven distributes heat evenly for perfect cooking results every time. However, it's heavy and expensive compared to other brands, and the enamel coating may chip over time.","{""durability"": 5, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 5, ""overall quality"": 5}"
79,Fossil Gen 5 Carlyle Stainless Steel Smartwatch,Stay connected and stylish with Fossil Gen 5 Carlyle Smartwatch.,"Fossil Gen 5 Carlyle Smartwatch offers customizable dials and fitness tracking features. However, the battery life is short, and the watch may lag during operation.","{""durability"": 3, ""ease of use"": 4, ""packaging"": 4, ""pleasant look"": 2, ""overall quality"": 2}"
80,Columbia Women's Benton Springs Full Zip Fleece Jacket,Stay warm and cozy with Columbia Women's Benton Springs Fleece Jacket.,"Columbia Benton Springs Fleece Jacket offers softness and warmth for chilly days. However, the sizing runs small, and the zipper may be flimsy.","{""durability"": 3, ""ease of use"": 4, ""packaging"": 4, ""pleasant look"": 1, ""overall quality"": 3}"
81,Bose SoundLink Color Bluetooth Speaker II,Enjoy music on the go with Bose SoundLink Color Bluetooth Speaker II.,"Bose SoundLink Color Speaker II delivers bold sound and vibrant colors. However, the battery life is short, and the speaker may distort at high volumes.","{""durability"": 5, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 5, ""overall quality"": 5}"
82,Garnier SkinActive Micellar Cleansing Water,Remove makeup and impurities with Garnier SkinActive Micellar Cleansing Water.,"Garnier Micellar Cleansing Water gently cleanses the skin without harsh rubbing. However, it may leave a residue on the skin, and the packaging is not eco-friendly.","{""durability"": 3, ""ease of use"": 4, ""packaging"": 4, ""pleasant look"": 2, ""overall quality"": 2}"
83,Samsung Galaxy S22 Ultra Smartphone,Experience the ultimate in mobile technology with the Samsung Galaxy S22 Ultra Smartphone.,"The Samsung Galaxy S22 Ultra is a powerhouse device with a stunning display and versatile camera system. It offers blazing-fast performance and a sleek design that exudes luxury. The battery life is impressive, easily lasting a full day with heavy usage. Overall, it's a top-notch smartphone that delivers on all fronts.","{""durability"": 5, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 5, ""overall quality"": 5}"
84,Olay Regenerist Micro-Sculpting Cream,Revitalize your skin with Olay Regenerist Micro-Sculpting Cream.,"Olay Regenerist Micro-Sculpting Cream is a holy grail product for anyone concerned about aging skin. Its advanced formula hydrates and plumps the skin, reducing the appearance of fine lines and wrinkles. With regular use, you'll notice firmer, more radiant skin that looks years younger. It's a game-changer in my skincare routine.","{""durability"": 3, ""ease of use"": 4, ""packaging"": 4, ""pleasant look"": 2, ""overall quality"": 2}"
85,Adidas Ultraboost 22 Running Shoes,Experience the pinnacle of comfort with Adidas Ultraboost 22 Running Shoes.,"Adidas Ultraboost 22 is a revolutionary running shoe that combines style and performance. The Boost midsole provides unmatched energy return with every step, while the Primeknit upper offers a snug, adaptive fit. Whether you're logging miles on the road or hitting the gym, these shoes will keep you comfortable and supported.","{""durability"": 5, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 5, ""overall quality"": 5}"
86,Maybelline Instant Age Rewind Eraser Dark Circles Treatment Concealer,Banish dark circles with Maybelline Instant Age Rewind Eraser Concealer.,"Maybelline Instant Age Rewind Eraser Concealer is a lifesaver for tired eyes. Its creamy formula blends seamlessly into the skin, camouflaging dark circles and brightening the under-eye area. The sponge applicator makes application a breeze, and the lightweight texture ensures a natural finish. It's a must-have in my makeup bag.","{""durability"": 5, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 5, ""overall quality"": 5}"
87,Canon EOS Rebel T8i DSLR Camera,Capture life's moments in stunning detail with the Canon EOS Rebel T8i DSLR Camera.,"Canon EOS Rebel T8i is a versatile DSLR camera that's perfect for beginners and enthusiasts alike. It offers a range of shooting modes and features, including 4K video recording and fast autofocus. The vari-angle touchscreen makes it easy to compose shots from any angle, while the built-in Wi-Fi and Bluetooth allow for seamless sharing of your photos and videos. It's a reliable camera that delivers impressive results every time.","{""durability"": 5, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 5, ""overall quality"": 5}"
88,CeraVe Hydrating Facial Cleanser,Gently cleanse and hydrate your skin with CeraVe Hydrating Facial Cleanser.,"CeraVe Hydrating Facial Cleanser is a gentle yet effective cleanser that removes dirt, oil, and makeup without stripping the skin's natural moisture barrier. Its fragrance-free and non-comedogenic formula is suitable for all skin types, including sensitive skin. With ceramides and hyaluronic acid, it helps replenish and lock in moisture for softer, smoother skin. It's a staple in my skincare routine.","{""durability"": 5, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 5, ""overall quality"": 5}"
89,Sony PlayStation 5 Gaming Console,Immerse yourself in the world of gaming with the Sony PlayStation 5 Gaming Console.,"Sony PlayStation 5 is the ultimate gaming console for gamers of all levels. With cutting-edge graphics and lightning-fast load times, it delivers a truly immersive gaming experience. Whether you're into action-packed adventures or epic multiplayer battles, the PS5 has something for everyone. It's a must-have for any gaming enthusiast.","{""durability"": 3, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 3, ""overall quality"": 5}"
90,L'Oreal Paris Revitalift Anti-Wrinkle + Firming Face & Neck Contour Cream,Turn back the clock with L'Oreal Paris Revitalift Anti-Wrinkle + Firming Cream.,"L'Oreal Paris Revitalift Cream is a powerhouse anti-aging moisturizer that targets wrinkles and sagging skin. Its rich, creamy texture absorbs quickly into the skin, leaving it feeling hydrated and plump. With continued use, you'll notice firmer, smoother skin with improved elasticity. It's a skincare essential for anyone concerned about aging.","{""durability"": 3, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 3, ""overall quality"": 5}"
91,Nintendo Switch OLED Model Gaming Console,Experience gaming like never before with the Nintendo Switch OLED Model Gaming Console.,"Nintendo Switch OLED Model takes gaming to the next level with its vibrant OLED display and enhanced audio. Whether you're playing on the go or at home, the Switch offers endless entertainment with its library of games. From Mario Kart to Animal Crossing, there's something for everyone to enjoy. It's a must-have for any gamer.","{""durability"": 3, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 3, ""overall quality"": 5}"
92,Cetaphil Daily Facial Moisturizer SPF 15,Protect and hydrate your skin with Cetaphil Daily Facial Moisturizer SPF 15.,"Cetaphil Daily Facial Moisturizer is a lightweight and non-greasy moisturizer that provides broad-spectrum sun protection. Its fragrance-free and gentle formula is suitable for all skin types, including sensitive skin. With SPF 15, it helps prevent sunburn and premature aging caused by UV rays. It's a skincare essential for daily sun protection.","{""durability"": 3, ""ease of use"": 4, ""pleasant look"": 5, ""packaging"": 3, ""overall quality"": 5}"
93,Adidas Originals Men's Stan Smith Sneakers,Step out in style with Adidas Originals Men's Stan Smith Sneakers.,"The Adidas Stan Smith sneakers looked great at first, but they started falling apart after just a few weeks of wear. Disappointing quality for the price.","{""durability"": 1, ""ease of use"": 3, ""pleasant look"": 4, ""packaging"": 3, ""overall quality"": 2}"
94,Maybelline New York Instant Age Rewind Eraser Dark Circles Treatment Concealer,Get rid of dark circles and fine lines with Maybelline New York Instant Age Rewind Eraser Dark Circles Treatment Concealer.,Didn't cover dark circles well. Disappointed.,"{""durability"": 1, ""ease of use"": 3, ""pleasant look"": 2, ""packaging"": 1, ""overall quality"": 2}"
95,Bissell CleanView Swivel Pet Upright Bagless Vacuum Cleaner,Keep your home clean from pet hair with the Bissell CleanView Swivel Pet Upright Bagless Vacuum Cleaner.,Vacuum doesn't pick up pet hair effectively. Waste of money.,"{""durability"": 1, ""ease of use"": 3, ""pleasant look"": 4, ""packaging"": 3, ""overall quality"": 2}"
96,Samsung 32-Inch Class N5300 Smart Full HD TV,Enjoy crisp and clear visuals with the Samsung 32-Inch Class N5300 Smart Full HD TV.,TV stopped working after a month. Extremely disappointed.,"{""durability"": 1, ""ease of use"": 3, ""pleasant look"": 2, ""packaging"": 1, ""overall quality"": 2}"
97,Dove Beauty Bar,Moisturize and nourish your skin with Dove Beauty Bar.,Dove Beauty Bar dried out my skin. Not recommended.,"{""durability"": 1, ""ease of use"": 3, ""pleasant look"": 4, ""packaging"": 3, ""overall quality"": 2}"
98,Cuisinart Advantage 12-Piece Color-Coded Knife Set,Upgrade your kitchen with the Cuisinart Advantage 12-Piece Color-Coded Knife Set.,Knives rusted after a few uses. Poor quality.,"{""durability"": 1, ""ease of use"": 3, ""pleasant look"": 2, ""packaging"": 1, ""overall quality"": 2}"
99,Apple AirPods Pro,Experience immersive sound with Apple AirPods Pro.,AirPods Pro didn't fit well in my ears. Disappointed with the comfort.,"{""durability"": 1, ""ease of use"": 2, ""pleasant look"": 4, ""packaging"": 1, ""overall quality"": 2}"
100,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Cook your favorite meals faster with the Instant Pot Duo 7-in-1 Electric Pressure Cooker.,Pressure cooker stopped working after a few uses. Not durable.,"{""durability"": 1, ""ease of use"": 2, ""pleasant look"": 4, ""packaging"": 1, ""overall quality"": 2}"
101,Revlon One-Step Hair Dryer & Volumizer Hot Air Brush,Achieve salon-worthy hair with the Revlon One-Step Hair Dryer & Volumizer Hot Air Brush.,Hair dryer brush tangled my hair. Waste of money.,"{""durability"": 1, ""ease of use"": 3, ""pleasant look"": 2, ""packaging"": 1, ""overall quality"": 2}"
102,Amazon Basics 6-Piece Fade-Resistant Cotton Bath Towel Set,Wrap yourself in luxury with the Amazon Basics 6-Piece Fade-Resistant Cotton Bath Towel Set.,Towels lost color after washing. Poor quality.,"{""durability"": 1, ""ease of use"": 2, ""pleasant look"": 4, ""packaging"": 1, ""overall quality"": 2}"
103,Fitbit Charge 4 Fitness and Activity Tracker,Track your fitness goals with the Fitbit Charge 4 Fitness and Activity Tracker.,Fitbit stopped syncing with my phone. Disappointed with the functionality.,"{""durability"": 1, ""ease of use"": 3, ""pleasant look"": 4, ""packaging"": 3, ""overall quality"": 2}"
104,CeraVe Hydrating Facial Cleanser,Gently cleanse and hydrate your skin with CeraVe Hydrating Facial Cleanser.,Cleanser caused breakouts on my skin. Not suitable for sensitive skin.,"{""durability"": 1, ""ease of use"": 3, ""pleasant look"": 4, ""packaging"": 1, ""overall quality"": 2}"
105,Sony WH-1000XM4 Wireless Industry Leading Noise Canceling Overhead Headphones,Immerse yourself in music with Sony WH-1000XM4 Wireless Noise Canceling Headphones.,Headphones stopped charging after a month. Disappointed with the battery life.,"{""durability"": 1, ""ease of use"": 2, ""pleasant look"": 4, ""packaging"": 1, ""overall quality"": 2}"
106,Anker PowerCore 10000 Portable Charger,Stay powered up on the go with the Anker PowerCore 10000 Portable Charger.,Portable charger didn't hold charge well. Not reliable.,"{""durability"": 1, ""ease of use"": 3, ""pleasant look"": 4, ""packaging"": 3, ""overall quality"": 2}"
107,Roku Streaming Stick+,Stream your favorite shows with the Roku Streaming Stick+.,Roku stick froze frequently. Frustrating experience.,"{""durability"": 1, ""ease of use"": 3, ""pleasant look"": 2, ""packaging"": 1, ""overall quality"": 1}"
108,Neutrogena Hydro Boost Hyaluronic Acid Hydrating Water Gel Daily Face Moisturizer,Hydrate and smooth your skin with Neutrogena Hydro Boost Hydrating Water Gel.,Moisturizer caused irritation on my skin. Not suitable for sensitive skin.,"{""durability"": 1, ""ease of use"": 2, ""pleasant look"": 4, ""packaging"": 1, ""overall quality"": 2}"
